,0
0,Açaí
1,Ackee
2,Apple
3,Apricot
4,Avocado
5,Banana
6,Bilberry
7,Blackberry
8,Blackcurrant
9,Black sapote
10,Blueberry
11,Boysenberry
12,Breadfruit
13,Buddha's hand
14,Cactus pear
15,Crab apple
16,Currant
17,Cherry
18,Cherimoya
19,Chico fruit
20,Cloudberry
21,Coconut
22,Cranberry
23,Damson
24,Date
25,Dragonfruit
26,Durian
27,Elderberry
28,Feijoa
29,Fig
30,Goji berry
31,Gooseberry
32,Grape
33,Grewia asiatica (phalsa or falsa)
34,Raisin
35,Grapefruit
36,Guava
37,Honeyberry
38,Huckleberry
39,Jabuticaba
40,Jackfruit
41,Jambul
42,Japanese plum
43,Jostaberry
44,Jujube
45,Juniper berry
46,Kiwano
47,Kiwifruit
48,Kumquat
49,Lemon
50,Lime
51,Loganberry
52,Loquat
53,Longan
54,Lychee
55,Mango
56,Mangosteen
57,Marionberry
58,Melon
59,Cantaloupe
60,Galia melon
61,Honeydew
62,Watermelon
63,Miracle fruit
64,Mulberry
65,Nance
66,Nectarine
67,Orange
68,Blood orange
69,Clementine
70,Mandarine
71,Tangerine
72,Papaya
73,Passionfruit
74,Peach
75,Pear
76,Persimmon
77,Plantain
78,Plum
79,Prune
80,Pineapple
81,Pineberry
82,Plumcot
83,Pomegranate
84,Pomelo
85,Purple mangosteen
86,Quince
87,Raspberry
88,Salmonberry
89,Rambutan
90,Redcurrant
91,Salal
92,Salak
93,Satsuma
94,Soursop
95,Star apple
96,Star fruit
97,Strawberry
98,Surinam cherry
99,Tamarillo
100,Tamarind
101,Tangelo
102,Tayberry
103,Ugli fruit
104,White currant
105,White sapote
106,Yuzu
