,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Aubergine and tofu curry,"2 tbsp rapeseed oil, plus extra for frying, 2 aubergines (about 300g), cut into large chunks, 396g block firm tofu, drained (see tip), 2 shallots, finely chopped, 1 tsp mustard seeds, 2 tbsp curry powder, 1 vegetable stock cube, 300ml boiling water, 200g greek yogurt, 50g mango chutney, Handful fresh coriander, roughly chopped, Small handful roasted peanuts, roughly chopped, Basmati rice and roti to serve (optional)",412,27.6,6,19.6,17,12.9,8.9,1.2,India
1,Kitchari,"70g white basmati rice, soaked for 1 hour, 70g mung dal (or mung beans, soaked overnight), 2 tbsp ghee, 1 bay leaf, pinch of asafoetida, 370ml water, 1 tsp cumin seeds, 5cm piece of fresh ginger, finely chopped, or 1⁄4 tsp ground ginger, 1 tsp ground turmeric, 1⁄4 tsp black pepper pinch of sea salt, to taste, Fresh coriander, to serve (optional)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,India
2,Spiced paneer with quick-pickled cucumber,"5 tbsp tikka masala paste, Grated zest and juice ½ lemon, 2 x 225g packs paneer, each cut into 12 cubes, 3 tbsp mango chutney (we used Geeta’s), 1 tbsp olive oil, Vegetable oil for frying, Handful micro herbs (see tip), 4 tbsp white wine vinegar, 2 tbsp caster sugar, ½ cucumber, peeled into 24 ribbons, 1 tsp nigella seeds, About 24 canapé skewers (from most large supermarkets)",90,6.7,3.3,4,3.3,3.1,0.5,0.2,India
3,Naan pizzas,"6 garlic and coriander mini naans (see tip), 3 handfuls sliced kale, washed, tough stalks removed, ½ head cauliflower, sliced very finely, thick stalks removed, 1 red onion, thinly sliced, 226g full-fat paneer, sliced, 2 tbsp olive oil, plus extra to grease, 2 tsp chilli flakes, 2 tbsp spiced mango chutney (we used Geeta’s), Green salad to serve (optional)",319,16.1,6.6,15.4,25.9,8.1,4.4,0.6,India
4,Dosa pancakes,"Rapeseed oil for frying, 1 tsp mustard seeds, 75g gram (chickpea) flour, 75g plain flour, 325ml semi-skimmed milk, 4 fried eggs cooked to your liking, A scattering of chopped coriander, Sliced red chilli",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,India
5,Chicken tikka masala,"6 skinless, boneless free-range chicken breasts, cut into large chunks, Steamed basmati rice, paratha, raita and fresh coriander leaves to serve, 2 tsp garam masala, 1 tsp cumin seeds, 1 tsp coriander seeds, ½ tsp hot chilli powder, ½ tsp hot paprika, Pinch ground turmeric, 4 garlic cloves, crushed, 3cm piece fresh ginger, grated, Juice 1 small lemon, 150ml natural yogurt, 1 tbsp vegetable or sunflower oil, 1 onion, finely chopped, 2 tsp garam masala, 1 tsp ground fenugreek, 1 whole star anise, Large pinch ground turmeric, 5cm piece fresh ginger, grated, 25g ground almonds, 275g ripe baby plum tomatoes, halved, Large pinch caster sugar, 200ml chicken stock, hot, 200ml tomato passata, 150ml single cream, Metal or wooden skewers (if using wooden, soak in water for 30 minutes)",312,12.1,4.4,40.9,8.8,6.9,2,0.6,India
6,Cheat’s tandoori chicken with cucumber rice salad,"100g full-fat greek yogurt, 50g madras curry paste, 1 garlic clove, crushed, 4 free-range chicken breast fillets, each one halved horizontally to make 2 thinner fillets, 2 x 250g pouches ready-to-heat basmati rice, 1 cucumber, sliced into thin half-moons, 1 small pack fresh coriander, chopped, 3 fresh mint sprigs, leaves picked and finely chopped, 1 tbsp rice vinegar, 1 tsp olive oil, ¼ tsp caster sugar, Mango chutney to serve",401,9.1,2.4,42.9,35.7,3.4,2.5,0.7,India
7,Griddled Bajan spiced prawn wraps with chunky tomato sauce,"Glug of olive oil, 2 crushed garlic cloves, 1 finely chopped red chilli , 2 tsp red wine vinegar, 400g tin of chopped tomatoes,  1 tsp caster sugar/agave nectar (optional), 1 tsp dried thyme, 1 tsp dried marjoram, ½ tsp cayenne pepper, 1 tsp ground turmeric, 1 tsp garlic powder, 1 tsp smoked paprika, 300g peeled, sustainable raw king or tiger prawns, 200g finely shredded white cabbage, 2 large carrots, Peeled into ribbons, Large bunch of chopped flatleaf parsley leaves, Glug of extra-virgin olive oil, Juice of 1 lemon,  ½ bunch of coriander leaves, Olive oil, 4 warmed tortilla wraps",408,13.9,3.1,21.2,44.7,14.3,9.9,1.2,India
8,Kimchi parathas,"300g kimchi, drained (see tip), plus extra to serve, 375g chapati flour (from Tesco, Ocado and Holland & Barrett), plus extra for dusting, 1 tsp salt, 4 tbsp oil or ghee, plus extra for greasing and frying, 275-300ml warm water, Fried eggs, Spring onions, finely sliced",241,8,4.6,4.7,36.6,0.3,1.9,0.8,India
9,Paneer gnudi with saag,"2 litres whole organic milk – the creamier the better, Juice 1 lemon, 1 large free-range egg yolk, 50g parmesan (or vegetarian alternative), grated, plus extra, Generous grating of nutmeg, 200g fine semolina, 25g butter, 500g young leaf spinach, 40g butter, 1 onion, finely chopped, 1 tsp cumin seeds, Thumb-size piece fresh ginger, finely grated, 3 garlic cloves, chopped, 1 green chilli, finely chopped, 200g cavolo nero or other seasonal cabbage, thick stalks discarded and leaves chopped, 60ml extra-virgin olive oil, 2 garlic cloves, finely sliced, 1 red chilli, finely chopped, Grated zest and juice 1 lemon, 1 preserved lemon, peel finely chopped (flesh discarded) or 2 strips lemon zest, finely sliced, Toasted pine nuts",624,39.5,19.1,23.5,41.7,16.4,4.2,1,India
10,Confit salmon with mint and coriander chutney and pomegranate and pistachio chaat,"600g organic salmon fillet, skinned and pin-boned (ask your fishmonger), 500ml olive oil, 1 tsp cumin seeds, 1 tsp coriander seeds, 1 tsp cardamom pods, seeds removed and finely crushed, 1 tsp fennel seeds, 1 tsp black peppercorns, 1 cinnamon stick, 1 mace blade, 4 tbsp sea salt, 100g unsalted pistachios kernels, Small bunch fresh coriander, finely chopped, 1 small red onion, finely chopped, 1 red chilli, deseeded and finely chopped, 50g sprouted mung beans (optional), Seeds from 1 small pomegranate, 1 tsp chaat masala (from the world food section of large supermarkets; optional), Juice 1 lime, 60ml extra-virgin olive oil, For the mint & coriander chutney, Small bunch fresh mint, leaves picked, Small bunch fresh coriander, leaves and stalks roughly chopped, 1 green chilli, roughly chopped, ½ tsp toasted cumin seeds, coarsely ground, Juice ½ lime, 1 tsp caster sugar, 150ml greek yogurt, Digital probe thermometer",379,32,5.9,19.8,3.6,3,1.1,1.4,India
11,Spinach dhal with roasted cauliflower and squash,"½ batch of lentil and kidney bean dhal, 1 cauliflower, sliced into florets, ½ butternut squash, chopped into 2cm chunks, 3 tbsp olive oil, plus extra for drizzling, 1 tbsp caraway or cumin seeds, 150g baby leaf spinach, 2-3 tbsp full-fat greek yogurt, Handful fresh flatleaf parsley, roughly chopped",556,18.5,5,26.6,61.9,17.2,17.3,0.2,India
12,Lentil and kidney bean dhal with fried lamb chops,"Olive oil, 3 leeks, finely sliced, 3 garlic cloves, crushed, 1 red chilli, finely chopped, 1 tbsp garam masala, 500g red lentils, 400ml tin reduced-fat coconut milk, 2 x 400g tins chopped tomatoes, 400g tin kidney beans, drained, 4 x British lamb chops, Fresh coriander leaves and lime wedges to serve",583,20.3,9,50.2,45.3,7,9.4,0.3,India
13,Honey and mustard baked chicken and rice,"2½ tbsp clear honey, plus extra to drizzle, 2½ tbsp wholegrain mustard, Zest and juice 1 lemon, plus wedges for squeezing (optional), 3 tbsp olive oil, 8 free-range, skin-on chicken drumsticks (about 1kg), 300g basmati rice, 2 leeks, sliced, 500ml hot chicken stock (made with a stock cube), Handful fresh parsley, leaves picked",697,21.9,4.7,51.9,70.8,10.5,4.2,1.6,India
14,Spiced courgette fritters with mint and jalapeño dip,"5 courgettes, topped and tailed, 3 spring onions, finely sliced, 1 heaped tsp nigella seeds, 3 generous pinches ground turmeric, 1 scant tbsp garam masala, 50g plain flour, 1 medium free-range egg, beaten, Sunflower oil for frying, 1-3 jalapeño chillies, stem ends trimmed off (see Know-how), 250g Greek or natural yogurt, Small bunch fresh mint, leaves picked, 1⁄2 tsp ground cumin, Finely grated zest 1 lime, juice ½",613,37.6,12.1,11,8.9,10.6,7.3,0.4,India
