,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Ensenada fish tacos,"140g plain flour, plus extra for dusting, 1½ tsp baking powder, 1 large free-range egg, 1 tsp fine garlic salt, Pinch dried oregano, 1 tsp american or dijon mustard, 300g sustainable cod fillet, cut into 2cm strips, 1 litre vegetable oil for deep frying, 15 small corn tortillas to serve (see tip), Iceberg lettuce, finely shredded, to serve, Lime wedges for squeezing, 1 tbsp fine sea salt, 1 medium red onion, cut into thin strips, Juice 1 lime, Pinch of dried oregano, 1 scotch bonnet chilli, finely chopped, 3 medium ripe tomatoes, finely chopped, 1 small onion, finely chopped, 3 tbsp chopped fresh coriander , Juice 1 lime, 3 tbsp soured cream, 3 tbsp good quality mayonnaise, Digital probe thermometer; 2 baking trays lined with kitchen paper",230,7.2,5.8,8.5,31.8,2.6,2,0.7,Mexico
1,Tex-Mex enchilada bake,"Splash light olive oil 450g British free-range pork mince, 450g British beef mince (5% fat), 2 onions, sliced , 1½ tbsp cumin seeds, roughly crushed, 1-3 tbsp chipotle paste (to taste; we used the Gran Luchito brand, from large supermarkets), 2 x 400g cans chopped tomatoes, 3 medium red peppers, sliced , 150g soured cream, 4 large tortilla wraps , 1-2 handfuls grated mature cheddar cheese",494,24.2,9.8,32.5,42.5,12.1,4.9,1.5,Mexico
2,Scampi tacos with jalapeño tartare sauce and avocado,"400g jumbo wholetail breaded scampi (we used Whitby Seafoods), 3 tortilla wraps, ½ round lettuce, torn, 1 avocado, finely sliced, 150g radishes, cut into wedges, Lemon, cut into wedges for squeezing, 2 tbsp mayonnaise, 4 tbsp soured cream, Splash white wine vinegar, 1 tbsp each chopped fresh tarragon and chopped fresh flatleaf parsley, 40g cornichons, chopped, 2 jalapeños, finely sliced",537,27.1,5.4,16.1,54.1,4.9,6.2,2.4,Mexico
3,Crispy tacos with charred veg and refried beans,"Olive oil for frying, 2 corn on the cobs, 250g chestnut mushrooms, sliced, 200g runner beans (or helda beans), cut into 2cm piece, 400g tin black beans, drained and rinsed, 2-3 tbsp chipotle paste, 2 tbsp soured cream, 100g vegetarian feta, crumbled, 8 small soft tortillas, Olive oil for brushing, 1 sweet white onion, finely chopped, 4 vine tomatoes, deseeded and finely chopped, Large handful fresh coriander, roughly chopped, Juice 1-2 limes",465,18,7.1,17.5,53.2,10.7,10.3,1.9,Mexico
4,Slow-cooked chicken tinga tacos with pickled onions,"2 dried ancho chillies (from Sainsbury’s, Waitrose, Ocado and souschef.co.uk), 2 dried cascabel chillies (from Waitrose, Ocado and souschef.co.uk), Olive oil for frying, 1kg skinless, boneless free-range chicken thighs, sliced, 1 large onion, finely chopped, 1 red pepper, finely chopped, 4 garlic cloves, crushed, ½ tsp dried thyme, 2 tbsp tomato purée, 4 tbsp chipotle paste, 500g ripe tomatoes, roughly chopped, 3 fresh thyme sprigs, 12 small soft tacos or 8 tortilla wraps, Soured cream, fresh coriander and lime wedges to serve, 2 red onions, finely sliced, Juice 3 limes, 2 tsp sea salt flakes, Casserole with a lid",839,21.2,6.4,66.8,90.3,17.8,9.6,3,Mexico
5,Mexican chicken and red rice burrito bowls,"Juice 2 limes, plus extra wedges to serve, 1 small red onion, finely sliced, 2 leftover corn tortilla wraps, 1 tbsp vegetable oil, 2-3 tbsp fajita spice mix, to taste, 200ml tomato passata, 250g cooked basmati rice (use a ready-cooked pouch if you want to), 198g tin sweetcorn, drained, 400g tin black beans, drained and rinsed, Large handful fresh coriander, roughly chopped, 450g leftover roast chicken or 3 cooked free-range chicken breasts, shredded",494,10.7,2.3,43.7,52.2,8.5,6.8,1.5,Mexico
6,Cornbread with Mexican-style salad,"Melted butter, 120g fine cornmeal, 120g self-raising flour, 1½ tsp caster sugar,  ½ tsp salt,  275g natural yogurt, 1 medium free-range egg, 90g melted butter, plus extra for greasing, 75g crumbled lancashire cheese, 2 corn cobs, ½ tsp olive oil, Large handful of watercress, 250g halved cherry tomatoes, 25g crumbled lancashire",401,21.4,12.3,12.6,37.9,7,2.8,1.2,Mexico
7,Sweet potato and black bean nachos,"750g sweet potatoes, sliced into 5mm rounds, 1 tbsp olive oil, 1 red onion, finely sliced, 2 tbsp red wine vinegar, 400g tin black beans, drained and rinsed, 200g ready-made tomato salsa, 75g tortilla chips, 100g grated vegetarian cheddar, 1 large ripe avocado, chopped, Finely grated zest and juice 1 lime, Handful fresh coriander",643,27.4,8.7,18.6,71.9,14.2,13.3,1.5,Mexico
8,Za’atar-spiced lamb tacos,"1 tbsp olive oil, 1.5kg whole shoulder bone-in Welsh lamb, 3 tbsp za’atar spice blend (from large supermarkets), 2 red onions, thinly sliced, Juice 2 lemons, 8-12 soft tacos, 250g greek yogurt, Large handful fresh coriander leaves, chopped, 50g pomegranate seeds",678,29.5,12.6,50.4,49.7,7.7,5.9,1.4,Mexico
9,Perfect guacamole,"3 ripe avocados, Juice of 2-3 limes, 1 tbsp soured cream, ½ finely chopped red onion, 1 finely chopped red chilli (remove the seeds if you don’t want your guacamole too spicy), Nachos, crisps or crudités (raw pieces of carrot, cucumber, chicory), to serve",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mexico
