,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Portuguese custard tarts (pastéis de nata),"Butter for greasing, 500ml whole milk (preferably gold top), Pared zest from 1 lemon, 1 cinnamon stick, 70g plain flour, 485g caster sugar, 6 large free-range egg yolks, 2 x 320g packs ready-rolled, all-butter puff pastry (or learn how to make your own here)",241,9.6,4.6,3.6,34.9,23.4,0.7,0.3,Spain
1,Quick paella,"½ x 200g chorizo ring, sliced, 1 onion, chopped, 150g frozen peas,  ½ chicken stock cube (we like Knorr),  1 garlic clove, crushed,  200g (drained weight) roasted red peppers, sliced, ½ tbsp sweet smoked paprika, 500g leftover cooked rice or 2 x 250g cooked rice pouches, Small bunch fresh parsley, chopped, to serve,   Lemon wedges to serve",293,8.1,2.8,12.1,40.6,4.8,4.6,1.3,Spain
2,Knorr’s smoky chorizo one-pot,"175g chorizo, sliced thinly, 1 red pepper, sliced, 2 sweet potatoes, cut into chunks, 400g can chopped tomatoes, 1 Knorr Chicken Stockpot dissolved in 200ml boiling water, 1 tablespoon smoked paprika, optional, 400g can chickpeas, Mixed green salad to serve, optional",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
3,Quick fish stew,"3 tbsp extra-virgin olive oil, 1 onion, 3 garlic cloves, 1 tsp smoked paprika (pimentón), 400g tin chopped tomatoes, 750ml vegetable or chicken stock, 400g tin butter beans, 450g frozen sustainable white fish, defrosted, 150g frozen sustainable raw prawns, defrosted, Fresh parsley leaves to garnish",187,6.8,0.9,22.6,8.8,3.2,3.7,0.8,Spain
4,Gazpacho,"4 tbsp sherry vinegar, 4 tbsp extra-virgin olive oil, plus extra to drizzle, 2 small garlic cloves, roughly chopped, 80g blanched almonds, 700g mixed tomatoes, roughly chopped, plus extra, sliced, to serve, 1/2 cucumber, roughly chopped, plus extra slices to serve, 1/2 large red pepper, roughly chopped, plus extra to serve, 2 spring onions, finely sliced, plus extra to serve, A few fresh basil leaves, plus extra to serve, Crusty bread to serve",298,25.5,2.9,7,8.8,7.9,2.8,trace salt,Spain
5,Paella cooked on the barbecue,"3 large Spanish onions, 2 green peppers, 1 garlic bulb, 3 tbsp olive oil, 400g pork tenderloin fillet, halved lengthways and cut into chunks, 400g skinless boneless free-range chicken thighs, cut into chunks, 9 tbsp extra-virgin olive oil (we used Brindisa arbequina olive oil), 2 tsp sweet smoked paprika, 1.25 litres fresh fish stock, Large pinch saffron strands, 500g calasparra rice (or other paella rice), 200ml dry oloroso or fino sherry, 500g Frozen Big & Juicy Delicious White Clams, defrosted in the fridge (from Waitrose and Ocado); or 500g fresh clams (discard any clams that stay open when tapped), 200g pack cooked crevettes (whole large prawns) from Waitrose and Ocado or your fishmonger, Large bunch fresh flatleaf parsley, leaves picked and chopped, 130g padrón peppers (optional), 2 x 125g bags baby leaf spinach, 1 tbsp sherry vinegar, 30g pine nuts, toasted for 5 minutes in a dry pan, 50g raisins, soaked in about 100ml dry sherry, 1 lemon, cut into wedges, 46cm paella pan (we used a Kitchen Craft 46cm paella pan), Kitchen foil",542,19.9,3.2,30.4,51.9,9,3.5,1.3,Spain
6,Squid and chorizo risotto,"150g cooking chorizo, sliced, Olive oil for frying (about 2 tbsp), 1-2 shallots, finely chopped, 2 garlic cloves, crushed, 350g arborio risotto rice, 200ml dry white wine, 7 saffron strands, 1.25-1.5 litres hot vegetable stock, 2 large squid tubes, cleaned, patted dry with kitchen paper, cut into 1cm rings, 100g grated parmesan, plus extra to serve, 100g cold butter, diced, Watercress sprigs to serve",622,34,16.4,21.6,50.5,1.9,1.4,2.8,Spain
7,Grilled courgettes with parsnip purée and rocket pesto,"1kg mixed courgettes (round, yellow and trompetta – these are long, pale and somewhat curly, and have fewer seeds than regular courgettes), 40ml extra virgin olive oil, plus more for drizzling, Sea salt and freshly ground black pepper, A pinch of smoked paprika, 5 walnuts, grated, 400g parsnips, 500ml double cream, 30g unsalted butter, 50ml extra virgin olive oil, 1 bay leaf, Sea salt and freshly ground black pepper, 100g wild rocket, 2 bunches of fresh basil, 1 clove of garlic, crushed, 200g pine nuts, 200ml extra virgin olive oil, 250g Manchego cheese (or hard sheep’s cheese), cut into rough chunks, Sea salt and freshly ground black pepper",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
8,Lamb cutlets with tumbet,"250ml extra virgin olive oil , 2 onions,finely diced, 3 carrots, finely diced, 2 leeks, white part only, finely diced, 1 bay leaf, 150g pancetta, diced, 150g chorizo, diced , 2 dried choricero peppers, soaked in water and finely chopped, 4 dried chillies, soaked in water and finely chopped, 1 teaspoon smoked paprika, 1kg good quality tinned plum tomatoes, blitzed, sea salt and freshly ground black pepper, 2 teaspoons sugar, or to taste, 2 large red peppers, 1 aubergine, sliced into 1cm rounds, sea salt and freshly ground black pepper, 50ml extra virgin olive oil, plus enough for the potatoes, 1 potato, sliced into 1cm rounds, 8 lamb cutlets (ask your butcher to French trim these for you), sea salt and freshly ground black pepper, 4 cloves of garlic, very finely chopped, 4 tablespoons flat parsley leaves. very finely chopped, 200ml extra virgin olive oil",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spain
9,Pork chops baked in chorizo and black olive tomato sauce,"½ red onion, finely chopped, 1 garlic clove, finely chopped, 75g cooking chorizo, roughly chopped, 1 tbsp tomato paste, 2 x 400g tins chopped tomatoes, 100ml red wine, 40g halved pitted black olives, 2 British free-range bone-in pork chops, Rocket leaves and crusty bread, to serve",624,34.1,8.5,47.5,19.4,18.1,5.8,2.1,Spain
10,Spicy tomato and chorizo pasta bake,"150g cooking chorizo, chopped, 1 onion, finely chopped, 2 garlic cloves, crushed, 1 tsp chilli flakes, 200ml red wine, 400g can chopped tomatoes, 250g large pasta shells, Bunch fresh basil leaves, roughly chopped, 80g cooking mozzarella, 1.5 litre ovenproof dish",507,17.5,7.4,22.4,52.9,7.7,5.6,1.7,Spain
