,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
0,Asparagus and quinoa salad with peas and broad beans,"12-16 asparagus spears, 500g broad beans, podded, 150g quinoa, rinsed, 300g peas, podded if fresh, or frozen, 6-8 spring onions, trimmed and sliced into 1cm pieces, Small handful chives, finely chopped (plus chive flowers to garnish if you can find them), Small handful each flatleaf parsley and mint leaves, finely chopped, plus a few whole leaves to garnish, Handful lovage, leaves picked and finely chopped, plus a few left whole to garnish, A few fennel tops (optional), Squeeze of lemon, 2 tsp dijon mustard, 2 tbsp extra-virgin olive oil, 1 tbsp sunflower oil, 2 tbsp cider vinegar, 2 tsp unrefined caster sugar",243,8.8,1.3,13.3,29.4,7.4,12.5,0.2,vegan
1,Rhubarb and beetroot ketchup,"½ star anise, 2 tsp coriander seeds, 1 tsp mustard seeds, ¾ tsp black peppercorns, 2 cloves, 1 tbsp sunflower oil, 500g rhubarb, rinsed and cut into 2-4cm pieces, 250g beetroot, peeled and cut into 1-2cm pieces, 1 large onion, diced, 1 garlic clove, 2 bay leaves, 3cm piece fresh ginger, finely chopped, 200g unrefined caster or granulated sugar, 150ml cider vinegar, Pestle and mortar, Blender or food processor, 500ml sterilised bottle or jar (or several smaller jars); Find out how to sterilise jars with this handy video.",35,0.4,trace,0.3,7.2,7.1,0.6,trace,vegan
2,Pret’s chocolate and almond butter cookies,"45g caster sugar, 110g soft light brown sugar, 40g almond pieces (see tip), 115g dark chocolate, cut into chunks (or use chocolate chips), A generous pinch of fine salt, 205g plain flour, 20g cocoa powder, 1/2 tsp bicarbonate of soda, 70g almond butter, 65g coconut oil (see tip), 100g golden syrup, 40ml water, 1 large or 2 baking trays lined with compostable baking paper",,,,,,,,,vegan
3,"Red cabbage, quinoa and avocado salad with peanut pesto"," ½ red cabbage, thick core removed, then finely sliced, Grated zest 2 limes, juice 4 limes, 20g fresh coriander, 10g fresh mint, 2 tbsp tamari soy sauce, 50g unsalted peanuts, 2.5cm fresh ginger, grated, 1 garlic clove, crushed, 2 tbsp toasted sesame oil, 2 tbsp groundnut oil, 250g pouch cooked quinoa, heated according to the pack instructions (check it’s gluten-free if need be), 200g edamame beans, defrosted if frozen, ½-1 red chilli, chopped (to taste), 60g baby leaf spinach, 4 spring onions, chopped, 1 ripe avocado, chopped or sliced",482,29.5,5,16.3,33.1,7.8,9.6,1.8,vegan
4,Vegan ‘scrambled eggs’ with mushrooms and greens,"200g red split lentils, well rinsed, 200ml oat milk (we used Oatly Barista), 100g cashew butter, 1 tbsp lemon juice, 80ml extra-virgin olive oil, 60g rice flour, ½ tsp bicarbonate of soda, 4 garlic cloves, 1 tbsp coriander seeds, lightly toasted in a dry pan, 4 tbsp olive oil, 200g large leaf spinach, roughly chopped, 12 portobellini mushrooms, 4-6 slices sourdough bread, Tomato chutney to serve (we like Tracklements), Blender or food processor",562,27.8,4.4,17.7,55.7,4.5,7.6,0.7,vegan
5,Parsnip and porcini wellington,"2 tsp olive oil , 1 small onion, finely sliced, 1 garlic clove, finely chopped, 2 fresh thyme sprigs, 2 fresh sage leaves, finely chopped, ½ x 400g tin butter beans, drained, 1 tsp sherry or balsamic vinegar, 1 tbsp truffle oil or paste, 3 large (even-size) parsnips, about 750g, quartered lengthways, 2 tbsp olive oil , 2 tbsp dijon mustard , 5 tbsp olive oil, 400g mixed mushrooms, finely chopped, Pinch chilli flakes, 20g dried porcini mushrooms, soaked in 250ml freshly boiled water for 20 minutes, 75g cooked chestnuts, chopped, 2 tbsp truffle oil or 1 tbsp truffle paste, to taste, 175g cavolo nero, trimmed and halved lengthways, Plain flour to dust, 500g readymade vegan puff pastry block (I use Jus Rol), 45g dried cranberries (optional) , 1 tbsp maple syrup , 1 tbsp olive oil , Food processor or blender",537,33.0,10.1,9.5,45.0,13.3,9.5,0.9,vegan
6,Roasted vegetable and chickpea quinoa salad,"2 red or yellow peppers, deseeded and cut into chunks, 1 red onion, cut into small wedges, 2 large beetroot, peeled and cut into small wedges, 4 garlic cloves, unpeeled, 4 tbsp olive oil, 200g quinoa , 480ml vegetable stock (check it’s vegan and gluten free), 400g tin chickpeas, drained and rinsed , 1 ripe avocado, stoned, peeled and sliced, Juice 1 lemon, 2 tsp sumac, Pinch caster sugar, A few fresh coriander or flatleaf parsley sprigs, chopped",445,19.9,3.1,14.4,45.3,11.7,13.5,0.2,vegan
7,Budget vegan vegetable rice,"125ml light olive oil, 1 green chilli, finely chopped, ½ tbsp fresh ginger, grated, 2 garlic cloves, crushed, 3 bay leaves, ½ tbsp each ground turmeric and ground cumin, ½ tbsp each coriander seeds and fennel seeds, 1 tsp cumin seeds, 400g butternut squash or pumpkin, deseeded, peeled and cut into 2cm cubes, 150ml vegetable stock (check it’s vegan if necessary), 2 onions, cut into slim wedges, 2 courgettes, sliced into half-moons, 250g green beans, Basmati rice and fresh coriander leaves to serve",,,,,,,,,vegan
8,Chargrilled chicory and cabbage salad,"3 tbsp olive oil, 1 tbsp cider vinegar , 1 small savoy cabbage, cut into thin wedges, 4 heads chicory (2 red and 2 yellow), quartered",90,6.1,0.9,1.8,5.3,4.0,3.7,trace salt,vegan
9,Pumpkin black dhal,"300g brown lentils, 1 pumpkin or squash, about 1kg, sliced into 2cm wedges (we used a delica pumpkin), 2 red onions, cut into wedges, 1 tbsp garam masala, 1 tsp chilli powder, A few glugs olive oil, 3 fat garlic cloves, crushed, 5cm piece fresh ginger, grated, 2 tbsp tomato purée, 1 vegan vegetable stock pot or cube, 30g vegan spread, 50g unsalted cashews, toasted in a dry pan, Large handful fresh coriander, chopped, Small handful fresh mint, chopped, 1 green chilli, deseeded and chopped, 1 tbsp tamarind purée, Juice 1-2 lemons, Pinch chaat masala (available from larger supermarkets, Asian grocers and at souschef)",351,13.8,4.3,16.9,34.8,7.7,10.4,1.6,vegan
