,0
0,Amaranth
1,Arugula
2,Beet
3,Bok choy
4,Borage
5,Broccoli
6,Brooklime
7,Brussels sprouts
8,Cabbage
9,Catsear
10,Celery
11,Celtuce
12,Chaya
13,Chickweed
14,Chicory
15,Chinese mallow
16,Garland Chrysanthemum
17,Collard greens
18,Common purslane
19,Corn salad
20,Cress
21,Dandelion
22,Dill
23,Endive
24,Fat hen
25,Fiddlehead
26,Fluted pumpkin
27,Golden samphire
28,Good King Henry
29,Grape
30,Greater plantain
31,Kai-lan
32,Kale
33,Komatsuna
34,Kuka
35,Lagos bologi
36,Lamb's lettuce
37,Lamb's quarters
38,Land cress
39,Lettuce
40,Lizard's tail
41,Malabar spinach
42,Mallow
43,Melokhia
44,Miner's lettuce
45,Mizuna greens
46,Mustard
47,Napa cabbage
48,New Zealand Spinach
49,Orache
50,Pak choy
51,Paracress
52,Pea
53,Poke
54,Radicchio
55,Rapini
56,Samphire
57,Sculpit
58,Sea beet
59,Sea kale
60,Shepherd's purse
61,Sierra Leone bologi
62,Soko
63,Sorrel
64,Sour cabbage
65,Spinach
66,Summer purslane
67,Swiss chard
68,Tatsoi
69,Turnip
70,Watercress
71,Water spinach
72,Wheatgrass
73,Yarrow
74,Yao choy
75,Species name
76,Armenian cucumber
77,Avocado
78,Bell pepper
79,Bitter melonBitter gourd
80,CaiguaAchocha
81,CalabashBottle gourd
82,Chayote
83,CucamelonMouse melon
84,Cucumber
85,EggplantAubergineBrinjal
86,Ivy gourd
87,KiwanoHorned melon
88,Luffa
89,Olive fruit
90,Pumpkin
91,Pointed gourd
92,Ridged gourd
93,Snake gourd
94,Spine gourdKantola
95,Squash
96,Sweet pepper
97,Tinda
98,Tomatillo
99,Tomato
100,Vanilla
101,West Indian gherkin
102,Water melon
103,Winter melon
104,ZucchiniCourgette
105,Species name
106,Artichoke
107,Broccoli
108,Broccolini
109,Caper
110,Cauliflower
111,Pumpkin flower
112,Daylily
113,Loroco
114,Courgette flowers
115,Squash blossoms
116,Species name
117,American groundnut
118,Azuki bean
119,Black-eyed pea
120,Chickpea
121,Common bean
122,Drumstick
123,Dolichos bean
124,Fava bean
125,Garbanzo
126,Green bean
127,Guar
128,Horse gram
129,Indian pea
130,Lentil
131,Lima bean
132,Moth bean
133,Mung bean
134,Okra
135,Pea
136,Peanut
137,Pigeon pea
138,Ricebean
139,Runner bean
140,Snap pea
141,Snow pea
142,Soybean
143,Tarwi
144,Tepary bean
145,Urad bean
146,Velvet bean
147,Winged bean
148,Yardlong bean
149,Species name
150,Asparagus
151,Cardoon
152,Celeriac
153,Celery
154,Chives
155,Elephant garlic
156,Florence fennel
157,Garlic
158,Garlic chives
159,Kohlrabi
160,Kurrat
161,Lemongrass
162,Leek
163,Lotus root
164,Nopal
165,Onion
166,Pearl onion
167,Potato onion
168,Prussian asparagus
169,Spring onion / Scallion
170,Shallot
171,Tree onion
172,Welsh onion
173,Wild leek
174,Manchurian wild rice
175,Species name
176,Ahipa
177,Arracacha
178,Bamboo shoot
179,Beetroot
180,Burdock
181,Broadleaf arrowhead
182,Camas
183,Canna
184,Carrot
185,Cassava
186,Chinese artichoke
187,Daikon
188,Earthnut pea
189,Elephant foot yam
190,Ensete
191,Galangal
192,Ginger
193,Hamburg parsley
194,Horseradish
195,Jerusalem artichoke
196,Jícama
197,Mashua
198,Parsnip
199,Pignut
200,Potato
201,Prairie turnip
202,Radish
203,Rutabaga
204,Salsify
205,Scorzonera
206,Skirret
207,Swede
208,Sweet potato
209,Taro
210,Ti
211,Tigernut
212,Turmeric
213,Turnip
214,Ulluco
215,Wasabi
216,Water caltrop
217,Water chestnut
218,Yacón
219,Yam
220,Species name
221,Aonori
222,Arame
223,Carola
224,Dabberlocks (Badderlocks)
225,Dulse (Dillisk)
226,Hijiki
227,Kombu
228,Laver
229,Mozuku
230,Nori
231,Ogonori
232,Sea grape
233,Sea lettuce
234,Wakame
